customer_id,bill_time,order_type,rating
946,2022-04-05 00:06:51.849337,online delivery,0
972,2022-04-04 00:06:51.849337,online delivery,5
897,2022-04-03 00:06:51.849337,online delivery,5
192,2022-04-02 00:06:51.849337,dine-in,null
778,2022-04-01 00:06:51.849337,online delivery,5
522,2022-03-31 00:06:51.849337,dine-in,2
42,2022-03-30 00:06:51.849337,dine-in,4
934,2022-03-29 00:06:51.849337,dine-in,4
150,2022-03-28 00:06:51.849337,dine-in,0
249,2022-03-27 00:06:51.849337,dine-in,4
91,2022-03-26 00:06:51.849337,online delivery,5
429,2022-03-25 00:06:51.849337,online delivery,null
317,2022-03-24 00:06:51.849337,dine-in,1
312,2022-03-23 00:06:51.849337,dine-in,5
186,2022-03-22 00:06:51.849337,dine-in,5
463,2022-03-21 00:06:51.849337,online delivery,3
200,2022-03-20 00:06:51.849337,dine-in,4
383,2022-03-19 00:06:51.849337,online delivery,4
507,2022-03-18 00:06:51.849337,dine-in,4
772,2022-03-17 00:06:51.849337,online delivery,0
805,2022-03-16 00:06:51.849337,dine-in,4
609,2022-03-15 00:06:51.849337,online delivery,2
62,2022-03-14 00:06:51.849337,dine-in,5
623,2022-03-13 00:06:51.849337,online delivery,2
407,2022-03-12 00:06:51.849337,dine-in,1
15,2022-03-11 00:06:51.849337,dine-in,0
515,2022-03-10 00:06:51.849337,dine-in,0
478,2022-03-09 00:06:51.849337,dine-in,1
126,2022-03-08 00:06:51.849337,online delivery,0
129,2022-03-07 00:06:51.849337,online delivery,null
410,2022-03-06 00:06:51.849337,online delivery,0
638,2022-03-05 00:06:51.849337,online delivery,null
123,2022-03-04 00:06:51.849337,online delivery,0
773,2022-03-03 00:06:51.849337,dine-in,5
974,2022-03-02 00:06:51.849337,dine-in,4
891,2022-03-01 00:06:51.849337,dine-in,5
458,2022-02-28 00:06:51.849337,online delivery,1
770,2022-02-27 00:06:51.849337,dine-in,1
895,2022-02-26 00:06:51.849337,online delivery,3
321,2022-02-25 00:06:51.849337,online delivery,2
