dish_id,stock_id,quantity
1,35,9
1,33,9
1,49,4
1,4,5
1,10,8
2,9,7
2,47,7
2,24,2
2,19,3
2,43,9
3,38,9
3,48,11
3,39,6
3,36,4
3,37,4
4,45,9
4,12,8
4,34,7
4,27,6
4,37,8
5,11,2
5,19,7
5,6,7
5,32,7
5,7,2
6,40,7
6,6,2
6,17,3
6,49,9
6,25,2
7,2,5
7,12,5
7,49,2
7,24,2
7,32,8
8,2,5
8,36,7
8,49,2
8,41,8
8,38,3
9,36,6
9,31,9
9,49,5
9,28,2
9,22,8
10,48,7
10,38,3
10,5,5
10,21,4
10,3,9
11,43,7
11,17,10
11,3,3
11,14,3
11,45,5
12,13,5
12,46,5
12,19,5
12,28,4
12,44,8
13,31,9
13,17,5
13,1,2
13,34,8
13,42,7
14,12,10
14,17,5
14,10,5
14,16,7
14,22,7
15,23,7
15,32,10
15,25,2
15,48,11
15,4,8
16,49,10
16,40,5
16,45,11
16,7,11
16,37,11
17,39,4
17,26,2
17,1,6
17,4,7
17,2,4
18,39,2
18,12,5
18,23,2
18,48,3
18,30,3
19,24,8
19,30,11
19,2,3
19,27,8
19,13,7
20,5,8
20,11,10
20,33,2
20,39,8
20,8,6
21,41,11
21,17,9
21,6,7
21,14,6
21,36,11
22,24,2
22,38,9
22,23,5
22,48,6
22,13,2
23,23,8
23,5,4
23,29,7
23,37,10
23,41,2
24,22,9
24,32,7
24,26,4
24,14,8
24,49,7
25,30,7
25,15,6
25,19,11
25,34,9
25,22,10
26,3,6
26,39,10
26,4,10
26,33,2
26,20,11
27,3,4
27,1,10
27,27,11
27,8,3
27,11,6
28,7,4
28,1,5
28,41,11
28,47,2
28,29,11
29,6,6
29,45,11
29,39,6
29,14,2
29,30,3
30,34,5
30,20,3
30,47,6
30,19,9
30,22,6
31,31,7
31,49,2
31,35,11
31,5,4
31,47,10
