bill_id,dish_id,quantity,rating
1,12,2,4
1,27,1,2
1,6,5,0
1,18,1,2
1,31,5,null
1,8,4,0
2,30,2,null
2,10,2,0
2,24,5,0
2,12,1,5
2,14,5,4
3,12,2,0
3,21,3,null
3,14,3,1
3,19,4,3
3,24,1,1
3,15,3,0
5,4,5,1
5,26,5,3
5,31,4,4
5,9,1,3
11,18,3,2
12,20,1,2
12,19,1,4
16,9,2,2
16,27,4,1
16,28,5,5
16,11,2,null
18,3,5,4
18,22,1,4
18,9,5,null
18,19,3,3
18,23,2,5
20,25,1,1
20,16,3,5
20,12,2,0
20,5,4,2
20,26,3,0
22,19,5,2
22,4,5,1
24,21,4,4
24,5,5,2
29,21,5,1
29,4,4,1
29,12,1,null
29,2,2,null
30,15,3,null
30,10,2,1
31,3,5,2
31,8,5,null
31,29,4,2
32,8,3,2
33,9,2,1
37,27,5,2
37,13,1,2
37,29,4,4
37,11,4,2
39,13,1,0
39,5,3,1
40,26,3,2
40,28,2,5
40,23,1,null
40,29,3,4
41,26,4,0
41,31,2,2
44,25,4,3
44,31,5,3
44,10,1,1
44,15,1,3
44,5,2,1
44,20,4,2
46,25,3,3
46,27,4,1
46,20,2,2
46,13,4,1
46,7,3,3
46,17,4,5
47,8,2,4
49,15,5,3
49,9,5,2
49,23,1,1
49,22,4,0
49,29,3,2
49,3,3,5
50,23,3,0
51,5,1,1
51,19,5,null
51,12,5,1
51,14,1,1
51,28,1,null
53,12,5,3
53,19,2,0
54,26,5,3
57,10,5,1
57,26,3,4
57,7,4,0
57,22,3,1
59,21,2,1
59,26,5,4
61,28,4,4
61,22,4,1
61,30,3,3
61,1,1,5
61,16,3,null
61,25,4,1
64,18,1,5
64,10,5,4
65,7,2,1
65,23,1,3
65,6,1,null
65,16,3,5
67,5,5,null
67,15,5,1
67,23,5,1
68,15,1,2
68,14,5,0
68,23,3,2
68,7,1,null
68,24,2,0
69,20,1,null
69,24,4,0
69,11,3,0
69,30,2,5
71,14,2,2
71,7,1,1
71,18,4,2
71,11,4,2
71,15,2,0
71,17,4,0
75,14,2,2
75,20,2,2
75,21,3,1
75,29,3,3
77,2,3,5
77,21,2,1
77,9,5,null
77,25,3,4
77,13,2,2
79,19,3,3
79,16,5,4
79,14,1,0
80,17,3,2
80,19,3,null
80,18,5,4
80,9,3,1
80,5,1,1
80,29,3,null
82,4,3,2
82,15,4,null
82,8,3,3
88,4,4,4
88,13,4,4
88,15,5,3
89,21,4,2
89,3,5,5
89,6,5,5
89,7,4,5
89,28,3,1
89,17,2,1
92,6,1,2
92,23,2,1
93,25,1,3
93,12,4,3
93,28,1,2
93,30,1,5
93,6,5,3
94,26,1,null
94,14,4,2
94,3,1,3
94,11,2,0
94,5,2,5
94,24,1,1
96,27,4,0
97,28,4,0
97,15,3,0
97,7,4,2
100,24,1,null
100,10,5,2
100,23,4,1
100,4,3,null
106,22,2,2
106,23,5,0
106,10,2,2
106,19,3,1
106,30,3,1
106,12,4,null
110,30,1,1
110,10,4,2
112,31,2,1
112,27,5,2
114,12,1,null
116,4,4,null
116,22,5,0
116,16,2,4
116,2,2,1
116,26,2,5
117,31,1,1
117,16,4,3
117,13,3,0
117,15,3,null
117,19,4,4
118,2,4,null
119,14,2,5
119,29,2,4
119,25,2,0
119,17,2,4
122,1,1,4
122,18,4,3
122,20,4,3
122,19,4,2
122,30,1,1
123,26,1,1
123,15,4,5
123,29,1,1
123,2,4,0
123,19,3,2
123,21,4,3
125,12,2,4
125,7,4,3
125,25,1,0
128,18,3,2
128,1,4,1
130,23,3,null
130,16,4,5
130,22,2,1
130,10,4,4
130,18,2,null
130,4,1,0
133,31,5,2
135,4,3,null
135,1,1,4
135,26,2,5
135,23,4,3
136,29,5,null
136,12,4,4
136,17,5,3
136,25,1,null
140,1,2,4
140,3,4,4
144,25,2,1
144,3,1,4
144,17,3,null
152,29,5,1
152,25,3,0
152,16,3,5
152,4,3,3
152,26,1,5
153,26,5,0
153,18,2,2
153,19,2,0
153,11,2,null
153,3,1,5
155,15,4,null
155,12,1,5
155,26,5,1
155,28,1,3
155,31,5,0
156,17,4,1
156,10,4,0
158,24,3,null
158,31,3,null
158,22,4,0
158,9,4,0
158,11,1,2
161,4,2,5
161,21,3,0
161,12,4,3
161,3,5,2
161,27,4,5
163,29,2,null
163,18,2,1
163,5,4,4
165,3,2,null
165,7,4,4
165,10,1,4
165,24,1,3
165,14,1,3
166,27,3,3
167,10,3,null
167,13,2,4
167,8,5,4
167,11,3,3
169,4,3,3
169,22,4,3
169,26,1,2
169,1,4,0
169,24,5,1
170,24,5,4
170,26,1,1
173,4,2,null
173,1,5,4
173,11,3,5
173,15,3,null
174,12,4,2
176,25,4,2
176,26,3,null
176,20,4,1
176,13,1,2
184,2,4,5
184,11,2,2
184,4,3,null
184,17,1,null
184,27,3,0
184,19,1,0
185,13,3,null
186,30,5,null
186,14,4,null
187,6,4,null
187,2,4,2
187,23,3,3
187,11,3,0
188,1,5,2
189,22,5,4
189,14,5,null
189,31,3,3
191,2,4,0
191,7,5,2
193,7,4,0
193,8,3,3
193,29,3,4
193,10,5,5
195,24,4,4
196,22,4,1
204,29,4,1
204,24,5,5
207,25,2,0
207,31,3,5
208,14,4,null
208,1,1,0
208,24,3,0
208,16,4,2
213,2,3,3
213,8,3,2
213,18,3,3
213,20,2,null
214,20,4,5
214,18,3,1
214,13,4,1
216,29,5,null
216,11,1,null
219,12,4,null
219,21,1,null
219,20,2,3
224,23,4,0
226,12,5,null
226,6,5,3
226,20,1,5
227,31,4,1
228,14,1,4
228,12,4,3
228,11,5,1
228,31,1,1
229,13,3,null
229,14,2,null
229,5,5,3
230,17,4,5
230,26,5,4
230,25,5,2
234,9,5,4
234,12,3,null
234,30,2,2
234,23,5,1
234,13,1,3
234,7,2,2
235,4,5,5
239,8,4,2
241,2,2,0
241,15,5,1
241,6,3,null
241,25,2,5
241,5,5,3
246,24,3,5
246,10,3,4
246,8,1,2
246,11,5,4
247,17,3,0
247,12,5,1
247,13,4,4
247,18,4,3
248,18,1,1
248,29,1,4
248,27,3,null
251,3,4,4
251,7,2,3
251,17,2,2
251,13,3,5
253,3,2,4
253,29,4,null
254,3,3,3
254,28,4,1
254,29,4,null
254,12,3,3
254,5,3,4
256,30,3,5
256,4,3,null
256,27,4,2
257,17,5,4
257,6,5,2
257,22,3,5
257,4,1,4
260,6,5,null
260,16,2,4
260,28,4,5
261,4,4,5
261,31,4,3
261,16,2,2
261,17,5,1
263,22,1,5
263,30,4,4
263,20,2,4
264,1,5,1
264,18,4,4
264,19,2,null
264,6,2,4
264,4,5,null
264,17,4,4
267,18,2,4
267,16,1,2
267,29,4,3
267,24,1,5
267,27,5,0
268,10,4,3
268,25,5,5
268,7,5,5
268,22,5,null
270,27,3,3
270,6,3,null
270,12,5,4
270,5,3,3
271,26,5,2
271,12,2,2
271,28,3,2
271,20,4,5
274,17,1,3
276,5,1,2
276,28,1,5
278,16,2,null
278,28,1,3
278,12,4,5
278,23,2,5
278,1,2,3
283,6,3,3
283,25,4,4
283,14,3,0
283,17,5,2
283,15,5,5
285,3,1,3
285,30,2,3
285,21,1,3
285,18,3,2
285,11,2,0
292,15,5,4
292,17,5,2
292,27,2,1
292,13,3,1
292,7,2,1
292,29,3,3
293,7,2,0
293,31,2,3
293,15,1,3
293,17,5,1
295,29,3,1
296,21,5,null
296,25,1,4
299,27,2,2
299,22,4,0
299,4,5,4
299,16,4,1
299,30,1,5
299,3,5,2
300,19,3,2
300,6,5,3
300,10,5,3
300,8,2,3
300,12,1,4
302,10,3,3
303,18,5,2
303,24,5,0
304,1,2,3
304,22,2,4
304,31,5,4
304,8,5,0
304,11,2,null
304,23,5,null
305,6,5,0
305,17,4,5
305,25,3,1
305,1,2,4
305,2,2,null
307,25,1,1
307,13,4,1
307,20,3,1
307,3,2,5
308,31,4,0
309,15,5,5
309,10,3,null
309,30,3,1
313,28,4,3
313,11,1,0
313,19,1,2
313,18,1,2
313,16,2,0
314,4,1,null
314,2,2,1
316,11,3,1
316,3,4,4
316,13,3,2
316,22,4,1
316,5,5,2
317,21,1,0
317,29,3,1
318,9,4,1
318,26,1,4
318,29,3,4
319,11,5,3
319,30,5,4
319,9,4,4
319,21,4,4
322,8,3,5
325,9,3,4
325,3,3,4
325,1,4,2
325,25,3,4
326,4,3,4
326,3,1,null
326,11,4,4
326,27,4,1
326,23,2,1
327,21,5,0
327,4,1,5
329,15,3,null
329,8,5,0
330,9,4,5
330,11,1,4
330,21,4,null
331,13,4,5
331,10,2,2
331,15,1,null
331,20,3,2
333,25,5,4
333,24,2,1
333,22,4,1
334,21,1,2
334,31,5,5
334,22,4,0
334,9,5,4
334,16,3,null
335,21,5,0
336,4,2,4
336,21,2,3
336,18,4,0
336,8,1,3
336,15,2,1
338,14,2,null
338,1,2,3
338,21,1,0
340,24,5,3
340,9,2,5
340,22,5,1
340,8,1,1
340,30,2,5
344,15,5,1
344,18,4,0
344,4,1,3
345,25,5,2
345,13,1,3
349,15,3,1
349,26,1,1
349,20,2,0
349,8,2,4
352,10,5,1
352,5,1,5
352,9,4,5
352,1,5,0
352,28,4,null
352,12,4,4
354,29,3,1
354,5,1,null
354,6,1,5
354,21,2,1
354,28,3,1
355,27,1,0
355,7,5,null
355,18,1,null
355,28,5,1
358,10,3,null
361,12,5,2
361,25,1,5
361,14,1,4
361,31,4,2
361,30,1,5
364,27,2,5
366,20,4,2
366,3,4,null
366,21,3,null
366,7,3,1
366,5,4,5
366,6,5,5
367,13,1,0
367,24,4,5
370,19,1,5
370,7,5,null
370,1,4,5
370,25,5,1
370,9,2,2
371,26,1,null
371,13,5,3
371,12,3,5
371,17,5,4
