bill_id,table_id,start_time,end_time
4,49,2022-04-01 23:16:51.849337,2022-04-02 00:01:51.849337
6,23,2022-03-30 23:16:51.849337,2022-03-31 00:01:51.849337
7,40,2022-03-29 23:16:51.849337,2022-03-30 00:01:51.849337
8,93,2022-03-28 23:16:51.849337,2022-03-29 00:01:51.849337
9,20,2022-03-27 23:16:51.849337,2022-03-28 00:01:51.849337
10,26,2022-03-26 23:16:51.849337,2022-03-27 00:01:51.849337
13,72,2022-03-23 23:16:51.849337,2022-03-24 00:01:51.849337
14,76,2022-03-22 23:16:51.849337,2022-03-23 00:01:51.849337
15,100,2022-03-21 23:16:51.849337,2022-03-22 00:01:51.849337
17,81,2022-03-19 23:16:51.849337,2022-03-20 00:01:51.849337
19,68,2022-03-17 23:16:51.849337,2022-03-18 00:01:51.849337
21,96,2022-03-15 23:16:51.849337,2022-03-16 00:01:51.849337
23,33,2022-03-13 23:16:51.849337,2022-03-14 00:01:51.849337
25,26,2022-03-11 23:16:51.849337,2022-03-12 00:01:51.849337
26,78,2022-03-10 23:16:51.849337,2022-03-11 00:01:51.849337
27,3,2022-03-09 23:16:51.849337,2022-03-10 00:01:51.849337
28,72,2022-03-08 23:16:51.849337,2022-03-09 00:01:51.849337
34,61,2022-03-02 23:16:51.849337,2022-03-03 00:01:51.849337
35,3,2022-03-01 23:16:51.849337,2022-03-02 00:01:51.849337
36,41,2022-02-28 23:16:51.849337,2022-03-01 00:01:51.849337
38,83,2022-02-26 23:16:51.849337,2022-02-27 00:01:51.849337
42,7,2022-02-22 23:16:51.849337,2022-02-23 00:01:51.849337
43,49,2022-02-21 23:16:51.849337,2022-02-22 00:01:51.849337
45,88,2022-02-19 23:16:51.849337,2022-02-20 00:01:51.849337
48,43,2022-02-16 23:16:51.849337,2022-02-17 00:01:51.849337
52,3,2022-02-12 23:16:51.849337,2022-02-13 00:01:51.849337
55,21,2022-02-09 23:16:51.849337,2022-02-10 00:01:51.849337
56,88,2022-02-08 23:16:51.849337,2022-02-09 00:01:51.849337
58,45,2022-02-06 23:16:51.849337,2022-02-07 00:01:51.849337
60,55,2022-02-04 23:16:51.849337,2022-02-05 00:01:51.849337
62,78,2022-02-02 23:16:51.849337,2022-02-03 00:01:51.849337
63,15,2022-02-01 23:16:51.849337,2022-02-02 00:01:51.849337
66,23,2022-01-29 23:16:51.849337,2022-01-30 00:01:51.849337
70,88,2022-01-25 23:16:51.849337,2022-01-26 00:01:51.849337
72,91,2022-01-23 23:16:51.849337,2022-01-24 00:01:51.849337
73,67,2022-01-22 23:16:51.849337,2022-01-23 00:01:51.849337
74,66,2022-01-21 23:16:51.849337,2022-01-22 00:01:51.849337
76,30,2022-01-19 23:16:51.849337,2022-01-20 00:01:51.849337
78,69,2022-01-17 23:16:51.849337,2022-01-18 00:01:51.849337
81,37,2022-01-14 23:16:51.849337,2022-01-15 00:01:51.849337
83,65,2022-01-12 23:16:51.849337,2022-01-13 00:01:51.849337
84,1,2022-01-11 23:16:51.849337,2022-01-12 00:01:51.849337
85,54,2022-01-10 23:16:51.849337,2022-01-11 00:01:51.849337
86,74,2022-01-09 23:16:51.849337,2022-01-10 00:01:51.849337
87,100,2022-01-08 23:16:51.849337,2022-01-09 00:01:51.849337
90,89,2022-01-05 23:16:51.849337,2022-01-06 00:01:51.849337
91,96,2022-01-04 23:16:51.849337,2022-01-05 00:01:51.849337
95,16,2021-12-31 23:16:51.849337,2022-01-01 00:01:51.849337
98,87,2021-12-28 23:16:51.849337,2021-12-29 00:01:51.849337
99,25,2021-12-27 23:16:51.849337,2021-12-28 00:01:51.849337
101,3,2021-12-25 23:16:51.849337,2021-12-26 00:01:51.849337
102,63,2021-12-24 23:16:51.849337,2021-12-25 00:01:51.849337
103,6,2021-12-23 23:16:51.849337,2021-12-24 00:01:51.849337
104,82,2021-12-22 23:16:51.849337,2021-12-23 00:01:51.849337
105,83,2021-12-21 23:16:51.849337,2021-12-22 00:01:51.849337
107,54,2021-12-19 23:16:51.849337,2021-12-20 00:01:51.849337
108,91,2021-12-18 23:16:51.849337,2021-12-19 00:01:51.849337
109,20,2021-12-17 23:16:51.849337,2021-12-18 00:01:51.849337
111,96,2021-12-15 23:16:51.849337,2021-12-16 00:01:51.849337
113,44,2021-12-13 23:16:51.849337,2021-12-14 00:01:51.849337
115,83,2021-12-11 23:16:51.849337,2021-12-12 00:01:51.849337
120,84,2021-12-06 23:16:51.849337,2021-12-07 00:01:51.849337
121,42,2021-12-05 23:16:51.849337,2021-12-06 00:01:51.849337
124,24,2021-12-02 23:16:51.849337,2021-12-03 00:01:51.849337
126,100,2021-11-30 23:16:51.849337,2021-12-01 00:01:51.849337
127,15,2021-11-29 23:16:51.849337,2021-11-30 00:01:51.849337
129,58,2021-11-27 23:16:51.849337,2021-11-28 00:01:51.849337
131,41,2021-11-25 23:16:51.849337,2021-11-26 00:01:51.849337
132,13,2021-11-24 23:16:51.849337,2021-11-25 00:01:51.849337
134,1,2021-11-22 23:16:51.849337,2021-11-23 00:01:51.849337
137,59,2021-11-19 23:16:51.849337,2021-11-20 00:01:51.849337
138,41,2021-11-18 23:16:51.849337,2021-11-19 00:01:51.849337
139,28,2021-11-17 23:16:51.849337,2021-11-18 00:01:51.849337
141,79,2021-11-15 23:16:51.849337,2021-11-16 00:01:51.849337
142,9,2021-11-14 23:16:51.849337,2021-11-15 00:01:51.849337
143,21,2021-11-13 23:16:51.849337,2021-11-14 00:01:51.849337
145,36,2021-11-11 23:16:51.849337,2021-11-12 00:01:51.849337
146,69,2021-11-10 23:16:51.849337,2021-11-11 00:01:51.849337
147,4,2021-11-09 23:16:51.849337,2021-11-10 00:01:51.849337
148,3,2021-11-08 23:16:51.849337,2021-11-09 00:01:51.849337
149,88,2021-11-07 23:16:51.849337,2021-11-08 00:01:51.849337
150,74,2021-11-06 23:16:51.849337,2021-11-07 00:01:51.849337
151,54,2021-11-05 23:16:51.849337,2021-11-06 00:01:51.849337
154,2,2021-11-02 23:16:51.849337,2021-11-03 00:01:51.849337
157,76,2021-10-30 23:16:51.849337,2021-10-31 00:01:51.849337
159,81,2021-10-28 23:16:51.849337,2021-10-29 00:01:51.849337
160,75,2021-10-27 23:16:51.849337,2021-10-28 00:01:51.849337
162,37,2021-10-25 23:16:51.849337,2021-10-26 00:01:51.849337
164,42,2021-10-23 23:16:51.849337,2021-10-24 00:01:51.849337
168,5,2021-10-19 23:16:51.849337,2021-10-20 00:01:51.849337
171,29,2021-10-16 23:16:51.849337,2021-10-17 00:01:51.849337
172,87,2021-10-15 23:16:51.849337,2021-10-16 00:01:51.849337
175,9,2021-10-12 23:16:51.849337,2021-10-13 00:01:51.849337
177,80,2021-10-10 23:16:51.849337,2021-10-11 00:01:51.849337
178,35,2021-10-09 23:16:51.849337,2021-10-10 00:01:51.849337
179,42,2021-10-08 23:16:51.849337,2021-10-09 00:01:51.849337
180,91,2021-10-07 23:16:51.849337,2021-10-08 00:01:51.849337
181,83,2021-10-06 23:16:51.849337,2021-10-07 00:01:51.849337
182,47,2021-10-05 23:16:51.849337,2021-10-06 00:01:51.849337
183,12,2021-10-04 23:16:51.849337,2021-10-05 00:01:51.849337
190,26,2021-09-27 23:16:51.849337,2021-09-28 00:01:51.849337
192,69,2021-09-25 23:16:51.849337,2021-09-26 00:01:51.849337
194,75,2021-09-23 23:16:51.849337,2021-09-24 00:01:51.849337
197,46,2021-09-20 23:16:51.849337,2021-09-21 00:01:51.849337
198,23,2021-09-19 23:16:51.849337,2021-09-20 00:01:51.849337
199,7,2021-09-18 23:16:51.849337,2021-09-19 00:01:51.849337
200,67,2021-09-17 23:16:51.849337,2021-09-18 00:01:51.849337
201,42,2021-09-16 23:16:51.849337,2021-09-17 00:01:51.849337
202,27,2021-09-15 23:16:51.849337,2021-09-16 00:01:51.849337
203,71,2021-09-14 23:16:51.849337,2021-09-15 00:01:51.849337
205,31,2021-09-12 23:16:51.849337,2021-09-13 00:01:51.849337
206,24,2021-09-11 23:16:51.849337,2021-09-12 00:01:51.849337
209,66,2021-09-08 23:16:51.849337,2021-09-09 00:01:51.849337
210,73,2021-09-07 23:16:51.849337,2021-09-08 00:01:51.849337
211,78,2021-09-06 23:16:51.849337,2021-09-07 00:01:51.849337
212,36,2021-09-05 23:16:51.849337,2021-09-06 00:01:51.849337
215,53,2021-09-02 23:16:51.849337,2021-09-03 00:01:51.849337
217,86,2021-08-31 23:16:51.849337,2021-09-01 00:01:51.849337
218,25,2021-08-30 23:16:51.849337,2021-08-31 00:01:51.849337
220,40,2021-08-28 23:16:51.849337,2021-08-29 00:01:51.849337
221,43,2021-08-27 23:16:51.849337,2021-08-28 00:01:51.849337
222,12,2021-08-26 23:16:51.849337,2021-08-27 00:01:51.849337
223,79,2021-08-25 23:16:51.849337,2021-08-26 00:01:51.849337
225,5,2021-08-23 23:16:51.849337,2021-08-24 00:01:51.849337
231,68,2021-08-17 23:16:51.849337,2021-08-18 00:01:51.849337
232,29,2021-08-16 23:16:51.849337,2021-08-17 00:01:51.849337
233,84,2021-08-15 23:16:51.849337,2021-08-16 00:01:51.849337
236,80,2021-08-12 23:16:51.849337,2021-08-13 00:01:51.849337
237,28,2021-08-11 23:16:51.849337,2021-08-12 00:01:51.849337
238,3,2021-08-10 23:16:51.849337,2021-08-11 00:01:51.849337
240,67,2021-08-08 23:16:51.849337,2021-08-09 00:01:51.849337
242,80,2021-08-06 23:16:51.849337,2021-08-07 00:01:51.849337
243,9,2021-08-05 23:16:51.849337,2021-08-06 00:01:51.849337
244,93,2021-08-04 23:16:51.849337,2021-08-05 00:01:51.849337
245,82,2021-08-03 23:16:51.849337,2021-08-04 00:01:51.849337
249,56,2021-07-30 23:16:51.849337,2021-07-31 00:01:51.849337
250,15,2021-07-29 23:16:51.849337,2021-07-30 00:01:51.849337
252,27,2021-07-27 23:16:51.849337,2021-07-28 00:01:51.849337
255,34,2021-07-24 23:16:51.849337,2021-07-25 00:01:51.849337
258,71,2021-07-21 23:16:51.849337,2021-07-22 00:01:51.849337
259,14,2021-07-20 23:16:51.849337,2021-07-21 00:01:51.849337
262,97,2021-07-17 23:16:51.849337,2021-07-18 00:01:51.849337
265,51,2021-07-14 23:16:51.849337,2021-07-15 00:01:51.849337
266,68,2021-07-13 23:16:51.849337,2021-07-14 00:01:51.849337
269,39,2021-07-10 23:16:51.849337,2021-07-11 00:01:51.849337
272,22,2021-07-07 23:16:51.849337,2021-07-08 00:01:51.849337
273,71,2021-07-06 23:16:51.849337,2021-07-07 00:01:51.849337
275,79,2021-07-04 23:16:51.849337,2021-07-05 00:01:51.849337
277,33,2021-07-02 23:16:51.849337,2021-07-03 00:01:51.849337
279,92,2021-06-30 23:16:51.849337,2021-07-01 00:01:51.849337
280,65,2021-06-29 23:16:51.849337,2021-06-30 00:01:51.849337
281,66,2021-06-28 23:16:51.849337,2021-06-29 00:01:51.849337
282,17,2021-06-27 23:16:51.849337,2021-06-28 00:01:51.849337
284,51,2021-06-25 23:16:51.849337,2021-06-26 00:01:51.849337
286,23,2021-06-23 23:16:51.849337,2021-06-24 00:01:51.849337
287,94,2021-06-22 23:16:51.849337,2021-06-23 00:01:51.849337
288,83,2021-06-21 23:16:51.849337,2021-06-22 00:01:51.849337
289,99,2021-06-20 23:16:51.849337,2021-06-21 00:01:51.849337
290,8,2021-06-19 23:16:51.849337,2021-06-20 00:01:51.849337
291,6,2021-06-18 23:16:51.849337,2021-06-19 00:01:51.849337
294,81,2021-06-15 23:16:51.849337,2021-06-16 00:01:51.849337
297,68,2021-06-12 23:16:51.849337,2021-06-13 00:01:51.849337
298,30,2021-06-11 23:16:51.849337,2021-06-12 00:01:51.849337
301,50,2021-06-08 23:16:51.849337,2021-06-09 00:01:51.849337
306,44,2021-06-03 23:16:51.849337,2021-06-04 00:01:51.849337
310,34,2021-05-30 23:16:51.849337,2021-05-31 00:01:51.849337
311,34,2021-05-29 23:16:51.849337,2021-05-30 00:01:51.849337
312,47,2021-05-28 23:16:51.849337,2021-05-29 00:01:51.849337
315,73,2021-05-25 23:16:51.849337,2021-05-26 00:01:51.849337
320,34,2021-05-20 23:16:51.849337,2021-05-21 00:01:51.849337
321,66,2021-05-19 23:16:51.849337,2021-05-20 00:01:51.849337
323,21,2021-05-17 23:16:51.849337,2021-05-18 00:01:51.849337
324,87,2021-05-16 23:16:51.849337,2021-05-17 00:01:51.849337
328,3,2021-05-12 23:16:51.849337,2021-05-13 00:01:51.849337
332,20,2021-05-08 23:16:51.849337,2021-05-09 00:01:51.849337
337,33,2021-05-03 23:16:51.849337,2021-05-04 00:01:51.849337
339,13,2021-05-01 23:16:51.849337,2021-05-02 00:01:51.849337
341,93,2021-04-29 23:16:51.849337,2021-04-30 00:01:51.849337
342,91,2021-04-28 23:16:51.849337,2021-04-29 00:01:51.849337
343,86,2021-04-27 23:16:51.849337,2021-04-28 00:01:51.849337
346,4,2021-04-24 23:16:51.849337,2021-04-25 00:01:51.849337
347,47,2021-04-23 23:16:51.849337,2021-04-24 00:01:51.849337
348,33,2021-04-22 23:16:51.849337,2021-04-23 00:01:51.849337
350,39,2021-04-20 23:16:51.849337,2021-04-21 00:01:51.849337
351,31,2021-04-19 23:16:51.849337,2021-04-20 00:01:51.849337
353,88,2021-04-17 23:16:51.849337,2021-04-18 00:01:51.849337
356,65,2021-04-14 23:16:51.849337,2021-04-15 00:01:51.849337
357,75,2021-04-13 23:16:51.849337,2021-04-14 00:01:51.849337
359,8,2021-04-11 23:16:51.849337,2021-04-12 00:01:51.849337
360,62,2021-04-10 23:16:51.849337,2021-04-11 00:01:51.849337
362,13,2021-04-08 23:16:51.849337,2021-04-09 00:01:51.849337
363,68,2021-04-07 23:16:51.849337,2021-04-08 00:01:51.849337
365,60,2021-04-05 23:16:51.849337,2021-04-06 00:01:51.849337
368,10,2021-04-02 23:16:51.849337,2021-04-03 00:01:51.849337
369,36,2021-04-01 23:16:51.849337,2021-04-02 00:01:51.849337
372,75,2021-03-29 23:16:51.849337,2021-03-30 00:01:51.849337
376,19,2021-03-25 23:16:51.849337,2021-03-26 00:01:51.849337
379,87,2021-03-22 23:16:51.849337,2021-03-23 00:01:51.849337
380,71,2021-03-21 23:16:51.849337,2021-03-22 00:01:51.849337
381,41,2021-03-20 23:16:51.849337,2021-03-21 00:01:51.849337
382,32,2021-03-19 23:16:51.849337,2021-03-20 00:01:51.849337
383,25,2021-03-18 23:16:51.849337,2021-03-19 00:01:51.849337
387,32,2021-03-14 23:16:51.849337,2021-03-15 00:01:51.849337
390,12,2021-03-11 23:16:51.849337,2021-03-12 00:01:51.849337
391,12,2021-03-10 23:16:51.849337,2021-03-11 00:01:51.849337
392,9,2021-03-09 23:16:51.849337,2021-03-10 00:01:51.849337
396,69,2021-03-05 23:16:51.849337,2021-03-06 00:01:51.849337
398,6,2021-03-03 23:16:51.849337,2021-03-04 00:01:51.849337
400,82,2021-03-01 23:16:51.849337,2021-03-02 00:01:51.849337
401,22,2021-02-28 23:16:51.849337,2021-03-01 00:01:51.849337
405,30,2021-02-24 23:16:51.849337,2021-02-25 00:01:51.849337
406,54,2021-02-23 23:16:51.849337,2021-02-24 00:01:51.849337
407,47,2021-02-22 23:16:51.849337,2021-02-23 00:01:51.849337
409,70,2021-02-20 23:16:51.849337,2021-02-21 00:01:51.849337
410,34,2021-02-19 23:16:51.849337,2021-02-20 00:01:51.849337
413,35,2021-02-16 23:16:51.849337,2021-02-17 00:01:51.849337
