customer_id,bill_time,order_type,rating
910,2022-04-29 15:22:43.758469,dine-in,2
985,2022-04-28 15:22:43.758469,dine-in,2
712,2022-04-27 15:22:43.758469,dine-in,2
702,2022-04-26 15:22:43.758469,dine-in,5
298,2022-04-25 15:22:43.758469,online delivery,0
454,2022-04-24 15:22:43.758469,online delivery,null
778,2022-04-23 15:22:43.758469,online delivery,2
522,2022-04-22 15:22:43.758469,dine-in,4
42,2022-04-21 15:22:43.758469,dine-in,4
925,2022-04-20 15:22:43.758469,online delivery,2
91,2022-04-19 15:22:43.758469,online delivery,4
271,2022-04-18 15:22:43.758469,dine-in,2
714,2022-04-17 15:22:43.758469,dine-in,2
759,2022-04-16 15:22:43.758469,dine-in,3
362,2022-04-15 15:22:43.758469,online delivery,null
651,2022-04-14 15:22:43.758469,online delivery,0
200,2022-04-13 15:22:43.758469,online delivery,5
989,2022-04-12 15:22:43.758469,online delivery,5
60,2022-04-11 15:22:43.758469,online delivery,0
232,2022-04-10 15:22:43.758469,online delivery,1
211,2022-04-09 15:22:43.758469,dine-in,null
323,2022-04-08 15:22:43.758469,dine-in,2
623,2022-04-07 15:22:43.758469,dine-in,4
7,2022-04-06 15:22:43.758469,online delivery,2
23,2022-04-05 15:22:43.758469,dine-in,5
718,2022-04-04 15:22:43.758469,dine-in,2
122,2022-04-03 15:22:43.758469,online delivery,4
731,2022-04-02 15:22:43.758469,dine-in,3
129,2022-04-01 15:22:43.758469,dine-in,1
215,2022-03-31 15:22:43.758469,online delivery,3
934,2022-03-30 15:22:43.758469,dine-in,1
683,2022-03-29 15:22:43.758469,online delivery,0
773,2022-03-28 15:22:43.758469,dine-in,3
974,2022-03-27 15:22:43.758469,dine-in,1
410,2022-03-26 15:22:43.758469,online delivery,4
538,2022-03-25 15:22:43.758469,dine-in,null
770,2022-03-24 15:22:43.758469,online delivery,4
144,2022-03-23 15:22:43.758469,dine-in,5
902,2022-03-22 15:22:43.758469,dine-in,0
259,2022-03-21 15:22:43.758469,online delivery,1
484,2022-03-20 15:22:43.758469,online delivery,2
696,2022-03-19 15:22:43.758469,online delivery,5
355,2022-03-18 15:22:43.758469,online delivery,5
771,2022-03-17 15:22:43.758469,dine-in,3
742,2022-03-16 15:22:43.758469,dine-in,5
338,2022-03-15 15:22:43.758469,dine-in,5
426,2022-03-14 15:22:43.758469,online delivery,4
534,2022-03-13 15:22:43.758469,dine-in,1
119,2022-03-12 15:22:43.758469,dine-in,4
962,2022-03-11 15:22:43.758469,dine-in,null
782,2022-03-10 15:22:43.758469,online delivery,3
130,2022-03-09 15:22:43.758469,online delivery,null
611,2022-03-08 15:22:43.758469,online delivery,4
805,2022-03-07 15:22:43.758469,dine-in,2
872,2022-03-06 15:22:43.758469,online delivery,null
768,2022-03-05 15:22:43.758469,dine-in,4
515,2022-03-04 15:22:43.758469,online delivery,5
404,2022-03-03 15:22:43.758469,dine-in,5
262,2022-03-02 15:22:43.758469,online delivery,5
772,2022-03-01 15:22:43.758469,online delivery,2
457,2022-02-28 15:22:43.758469,online delivery,5
871,2022-02-27 15:22:43.758469,online delivery,2
63,2022-02-26 15:22:43.758469,online delivery,4
2,2022-02-25 15:22:43.758469,online delivery,1
773,2022-02-24 15:22:43.758469,dine-in,1
51,2022-02-23 15:22:43.758469,online delivery,null
103,2022-02-22 15:22:43.758469,dine-in,4
293,2022-02-21 15:22:43.758469,dine-in,1
986,2022-02-20 15:22:43.758469,dine-in,4
254,2022-02-19 15:22:43.758469,online delivery,null
794,2022-02-18 15:22:43.758469,dine-in,0
669,2022-02-17 15:22:43.758469,online delivery,2
351,2022-02-16 15:22:43.758469,online delivery,0
769,2022-02-15 15:22:43.758469,dine-in,4
428,2022-02-14 15:22:43.758469,online delivery,0
935,2022-02-13 15:22:43.758469,online delivery,null
425,2022-02-12 15:22:43.758469,dine-in,3
553,2022-02-11 15:22:43.758469,online delivery,2
839,2022-02-10 15:22:43.758469,online delivery,0
444,2022-02-09 15:22:43.758469,dine-in,2
868,2022-02-08 15:22:43.758469,dine-in,4
9,2022-02-07 15:22:43.758469,online delivery,0
207,2022-02-06 15:22:43.758469,online delivery,4
548,2022-02-05 15:22:43.758469,online delivery,null
575,2022-02-04 15:22:43.758469,online delivery,null
