bill_id,dish_id,quantity,rating
3,24,5,5
3,1,1,5
3,29,4,5
3,9,2,3
3,31,2,0
4,16,5,null
4,25,1,3
4,24,5,5
4,27,2,null
4,22,3,3
4,3,3,null
9,31,3,null
9,12,2,1
9,2,3,1
9,7,1,1
12,23,1,2
12,29,1,3
16,7,2,1
16,12,5,3
16,25,3,3
17,31,3,2
17,9,2,3
17,29,4,null
17,2,5,0
17,22,2,4
18,24,2,5
18,11,1,0
20,11,4,null
20,16,2,null
21,7,5,2
24,12,3,5
24,23,2,2
24,20,5,2
24,3,5,4
25,6,4,1
29,17,3,4
29,7,4,2
32,21,1,2
32,22,2,0
32,9,2,4
36,14,1,3
36,22,5,4
36,20,1,3
38,16,5,null
38,27,3,1
38,18,1,1
40,29,4,0
41,25,4,5
41,4,5,4
41,2,5,3
41,22,2,1
43,1,2,5
43,27,1,1
43,29,3,2
43,23,5,0
45,1,1,0
45,5,3,2
45,29,5,1
45,27,2,1
45,28,1,null
45,11,5,0
46,19,1,5
46,27,1,null
46,14,2,1
46,15,4,0
46,23,5,3
46,3,5,4
47,10,5,2
47,9,3,3
47,26,4,0
47,19,2,3
48,2,4,5
48,31,1,2
48,20,1,3
48,4,2,0
48,3,3,1
49,6,2,2
49,15,5,0
49,27,5,0
49,18,5,1
49,16,1,null
53,14,5,2
53,1,1,null
53,21,1,1
53,20,1,5
53,5,4,3
53,10,2,2
59,14,5,2
59,1,3,2
59,11,4,4
59,15,3,0
60,29,1,2
60,11,4,null
60,28,2,2
60,1,2,2
62,10,5,2
62,6,4,4
62,28,4,null
63,11,4,0
63,22,4,3
63,13,1,0
66,29,1,2
66,21,3,4
66,9,3,3
66,31,2,1
66,22,1,3
66,15,1,5
68,16,3,null
69,20,2,2
69,8,1,2
69,1,4,4
69,30,1,null
69,17,5,3
69,21,3,null
70,10,1,3
70,21,3,5
71,27,2,3
71,16,5,3
71,30,4,null
74,17,4,4
74,5,5,4
74,1,2,1
79,2,4,5
79,30,2,2
80,28,3,1
80,31,2,2
80,20,5,2
80,24,3,null
80,10,2,0
81,15,5,2
82,18,5,1
82,28,1,0
82,26,1,5
83,15,3,0
83,28,5,1
83,19,3,5
89,28,4,0
89,10,2,0
89,8,4,3
89,3,3,0
92,8,5,null
92,24,3,0
92,17,1,3
92,11,5,4
92,20,4,5
93,31,3,3
93,7,2,null
93,14,5,4
93,26,3,null
93,21,4,null
94,10,1,3
94,19,5,2
94,26,2,null
94,4,1,null
94,12,2,0
96,22,1,5
96,28,5,2
97,1,1,5
97,26,4,2
97,10,1,2
97,14,2,2
97,3,2,2
97,6,1,5
98,4,1,2
98,13,2,0
100,16,3,3
100,4,4,1
100,6,5,1
100,3,2,0
100,8,3,2
101,28,5,3
101,20,4,2
101,11,3,4
101,15,1,1
101,18,5,2
101,2,4,null
102,18,4,3
102,8,4,0
102,2,5,0
102,20,1,null
102,7,1,4
107,8,3,1
107,28,4,null
107,16,3,0
109,7,2,5
109,27,1,null
110,11,1,4
110,24,4,0
115,23,5,1
115,20,1,4
116,23,4,1
119,24,4,null
120,19,3,2
120,1,2,null
120,27,1,2
120,11,4,2
120,23,5,4
121,12,2,3
121,2,2,5
121,1,2,1
127,19,4,null
129,18,1,2
129,3,4,null
129,27,3,5
129,21,2,4
129,26,2,null
129,17,4,0
132,23,2,4
132,25,3,1
132,5,4,4
133,8,1,1
133,25,2,3
133,2,5,0
133,19,3,5
133,1,4,4
133,22,2,3
134,21,3,null
137,6,1,1
137,24,4,5
137,5,3,null
137,8,3,3
137,7,3,3
137,19,4,2
139,9,4,5
139,6,5,null
139,12,4,5
139,2,5,3
139,11,1,2
139,7,3,2
140,8,3,0
140,24,4,2
140,5,2,3
143,31,5,1
143,26,1,null
143,21,1,1
143,20,4,null
146,14,2,2
146,7,5,4
146,12,3,0
146,29,4,3
148,5,3,0
149,10,1,1
150,30,3,2
150,14,3,0
150,18,5,5
152,29,3,5
152,17,1,null
152,16,2,5
152,28,2,1
153,4,2,1
153,7,2,2
153,12,1,null
154,20,3,5
154,5,5,5
154,10,4,null
157,17,4,null
157,31,4,2
157,23,2,5
157,14,4,0
157,7,1,null
158,26,3,4
158,9,4,3
158,31,4,4
160,4,2,2
161,6,2,4
161,4,3,0
161,16,4,null
161,1,5,4
161,21,4,1
162,13,1,4
162,30,3,1
162,18,2,2
162,6,2,4
162,31,2,0
163,3,4,null
164,25,2,4
164,19,4,1
164,29,1,1
164,6,1,null
164,1,1,0
165,22,3,4
168,8,2,2
168,13,1,4
168,12,2,5
168,28,4,1
168,20,3,5
168,1,4,3
170,12,5,0
170,23,1,5
171,1,5,4
173,9,5,null
173,4,3,5
174,20,1,1
174,16,4,4
174,15,1,1
175,15,4,4
175,3,3,1
177,7,2,3
177,18,2,2
181,26,5,5
181,4,2,0
181,10,1,null
182,23,5,2
183,2,3,2
183,29,1,null
184,4,5,1
185,1,2,0
185,22,2,3
185,7,5,5
185,11,4,3
185,14,1,2
186,3,4,4
186,1,3,4
186,11,3,null
186,15,5,1
186,10,1,5
187,5,2,null
187,4,3,3
187,26,5,4
187,27,5,0
187,11,3,1
190,16,2,3
190,22,5,4
190,10,1,4
190,21,5,4
190,14,3,2
191,4,5,null
191,28,4,null
191,13,3,5
191,5,5,1
193,12,1,2
193,21,4,2
193,7,3,1
196,30,1,1
196,16,1,1
196,23,3,0
196,11,3,2
197,25,1,4
197,8,4,4
197,22,2,4
197,6,4,4
197,15,4,2
197,16,4,1
199,22,2,0
199,30,2,1
199,11,5,3
199,20,4,5
201,29,3,5
207,17,4,4
207,20,3,0
209,2,4,1
209,5,3,null
209,11,4,3
211,25,5,2
211,9,1,2
212,11,2,3
212,8,4,3
212,13,5,3
212,7,4,null
221,19,5,1
221,1,5,4
221,20,1,2
223,15,3,1
223,22,1,1
223,14,4,5
224,8,3,0
225,31,5,null
225,13,5,0
230,29,4,1
230,19,5,1
230,24,5,2
232,1,5,1
232,29,1,1
232,17,5,4
232,23,4,0
237,12,1,4
237,14,5,5
237,20,4,5
237,7,2,4
237,23,5,2
237,27,3,1
238,9,4,0
238,11,1,null
238,12,1,5
238,27,3,null
238,3,5,5
241,27,3,5
241,18,3,5
241,29,1,3
241,7,5,3
242,17,3,2
242,16,5,0
242,10,4,4
242,24,4,5
244,20,3,2
244,1,4,0
244,2,2,2
244,14,1,3
245,13,4,3
245,9,4,4
245,16,4,null
245,2,2,3
245,20,2,4
245,22,3,2
246,16,3,null
247,7,4,2
247,16,4,4
248,25,4,null
248,17,4,3
248,31,3,null
248,18,3,5
249,1,4,3
249,24,2,4
249,3,3,5
249,30,3,null
249,23,3,0
250,31,3,null
250,5,5,0
250,30,5,1
250,23,3,4
250,4,1,1
251,11,1,2
252,18,3,null
252,31,3,2
252,3,5,4
252,16,2,3
262,9,5,1
262,26,4,5
262,5,2,2
262,19,3,null
262,27,4,3
266,13,2,1
266,30,1,1
266,15,2,null
266,9,1,2
266,12,3,0
266,28,4,1
267,26,3,5
267,24,5,3
267,5,5,5
267,31,3,4
267,25,5,2
267,4,2,1
268,25,3,4
268,3,1,2
269,10,4,0
269,5,3,4
271,17,5,4
271,21,1,3
271,30,1,3
271,2,1,2
271,29,2,null
273,23,1,3
273,2,4,5
273,30,2,3
275,30,3,1
275,26,4,null
282,12,1,4
282,1,3,0
282,3,2,5
283,6,5,2
283,21,5,5
283,18,4,5
283,12,5,5
283,15,2,null
283,29,1,1
284,25,1,4
284,8,5,2
284,22,2,5
285,19,5,null
286,12,5,1
286,29,2,0
286,19,3,4
286,26,2,5
286,8,3,4
286,28,3,1
287,24,2,4
287,26,1,0
287,6,5,4
289,18,3,2
290,18,5,null
290,11,1,2
292,1,1,1
292,4,3,null
293,29,5,4
293,16,4,2
293,18,1,5
293,8,5,0
295,18,2,4
295,14,1,0
295,29,3,3
295,28,3,4
295,17,1,5
295,20,4,2
297,12,5,1
297,5,5,3
298,1,2,2
298,12,2,0
298,16,5,null
298,28,5,4
298,25,2,3
298,15,5,2
300,26,2,null
300,27,2,3
300,19,3,null
302,18,4,2
303,22,3,1
303,18,1,3
303,14,4,0
304,5,5,5
304,6,3,null
304,7,3,2
305,16,2,5
305,29,3,1
311,9,3,null
311,10,2,0
311,2,5,2
311,26,3,0
311,22,4,5
313,26,3,2
313,15,2,5
315,19,1,1
315,10,3,1
315,16,4,null
315,13,5,2
315,2,3,null
317,13,1,1
317,28,4,4
317,31,5,null
317,9,5,2
317,18,1,3
317,8,3,1
319,24,3,5
319,10,3,0
319,25,4,null
319,17,5,1
319,13,3,0
319,23,3,0
320,29,2,2
320,10,1,0
320,19,5,5
320,18,3,0
323,8,1,1
326,24,3,0
326,2,4,null
326,4,1,3
326,7,4,1
326,28,4,1
326,31,5,2
327,24,1,1
327,21,3,3
330,13,1,1
330,27,4,2
330,12,4,5
330,30,1,5
330,1,5,1
331,11,4,4
331,8,2,0
331,22,1,2
331,27,5,3
332,4,2,0
332,31,2,1
332,19,4,0
332,14,1,null
332,10,2,0
334,22,2,4
334,14,2,1
334,5,1,null
336,18,5,3
336,17,2,null
336,26,5,null
336,12,1,5
336,2,2,4
338,15,5,null
338,25,2,4
338,7,5,3
338,26,2,4
339,20,4,5
339,18,1,0
339,6,1,3
339,3,2,2
339,14,2,2
342,23,4,3
342,17,2,null
344,14,2,3
344,7,2,4
346,4,2,2
347,1,4,0
347,27,5,null
348,16,1,3
348,25,3,2
348,28,3,0
348,26,2,2
348,14,4,3
348,24,3,3
349,13,3,3
349,19,4,2
349,11,3,null
352,19,2,5
352,5,2,null
352,4,2,5
352,21,2,2
352,25,1,2
357,23,1,3
359,16,5,2
359,24,1,null
359,26,2,2
359,12,3,4
359,8,1,null
359,15,3,3
361,29,3,3
361,11,4,2
361,16,5,1
361,9,1,2
362,1,4,3
363,12,2,3
363,10,1,1
364,7,4,null
364,27,1,1
365,27,2,0
365,28,2,null
365,23,5,0
365,1,5,1
365,12,1,5
365,11,5,null
367,9,5,2
367,22,1,5
367,16,2,2
367,20,2,3
367,27,4,5
367,25,1,1
368,31,3,1
369,20,2,0
369,26,4,4
369,29,5,2
369,11,5,4
369,24,5,4
371,27,2,5
371,30,5,5
371,21,3,3
371,9,4,1
374,26,4,4
375,26,2,4
375,25,5,4
375,19,2,0
375,7,2,2
375,12,1,1
376,11,1,3
376,18,1,0
376,12,1,5
377,30,1,4
378,29,4,0
378,6,5,5
