bill_id,table_id,start_time,end_time
1,95,2022-04-26 22:06:55.306947,2022-04-26 22:51:55.306947
2,21,2022-04-25 22:06:55.306947,2022-04-25 22:51:55.306947
5,77,2022-04-22 22:06:55.306947,2022-04-22 22:51:55.306947
6,49,2022-04-21 22:06:55.306947,2022-04-21 22:51:55.306947
7,78,2022-04-20 22:06:55.306947,2022-04-20 22:51:55.306947
8,89,2022-04-19 22:06:55.306947,2022-04-19 22:51:55.306947
10,93,2022-04-17 22:06:55.306947,2022-04-17 22:51:55.306947
11,20,2022-04-16 22:06:55.306947,2022-04-16 22:51:55.306947
13,14,2022-04-14 22:06:55.306947,2022-04-14 22:51:55.306947
14,73,2022-04-13 22:06:55.306947,2022-04-13 22:51:55.306947
15,6,2022-04-12 22:06:55.306947,2022-04-12 22:51:55.306947
19,70,2022-04-08 22:06:55.306947,2022-04-08 22:51:55.306947
22,6,2022-04-05 22:06:55.306947,2022-04-05 22:51:55.306947
23,74,2022-04-04 22:06:55.306947,2022-04-04 22:51:55.306947
26,1,2022-04-01 22:06:55.306947,2022-04-01 22:51:55.306947
27,93,2022-03-31 22:06:55.306947,2022-03-31 22:51:55.306947
28,41,2022-03-30 22:06:55.306947,2022-03-30 22:51:55.306947
30,13,2022-03-28 22:06:55.306947,2022-03-28 22:51:55.306947
31,8,2022-03-27 22:06:55.306947,2022-03-27 22:51:55.306947
33,47,2022-03-25 22:06:55.306947,2022-03-25 22:51:55.306947
34,92,2022-03-24 22:06:55.306947,2022-03-24 22:51:55.306947
35,94,2022-03-23 22:06:55.306947,2022-03-23 22:51:55.306947
37,39,2022-03-21 22:06:55.306947,2022-03-21 22:51:55.306947
39,90,2022-03-19 22:06:55.306947,2022-03-19 22:51:55.306947
42,11,2022-03-16 22:06:55.306947,2022-03-16 22:51:55.306947
44,91,2022-03-14 22:06:55.306947,2022-03-14 22:51:55.306947
50,66,2022-03-08 22:06:55.306947,2022-03-08 22:51:55.306947
51,83,2022-03-07 22:06:55.306947,2022-03-07 22:51:55.306947
52,44,2022-03-06 22:06:55.306947,2022-03-06 22:51:55.306947
54,13,2022-03-04 22:06:55.306947,2022-03-04 22:51:55.306947
55,82,2022-03-03 22:06:55.306947,2022-03-03 22:51:55.306947
56,36,2022-03-02 22:06:55.306947,2022-03-02 22:51:55.306947
57,21,2022-03-01 22:06:55.306947,2022-03-01 22:51:55.306947
58,88,2022-02-28 22:06:55.306947,2022-02-28 22:51:55.306947
61,83,2022-02-25 22:06:55.306947,2022-02-25 22:51:55.306947
64,30,2022-02-22 22:06:55.306947,2022-02-22 22:51:55.306947
65,46,2022-02-21 22:06:55.306947,2022-02-21 22:51:55.306947
67,59,2022-02-19 22:06:55.306947,2022-02-19 22:51:55.306947
72,99,2022-02-14 22:06:55.306947,2022-02-14 22:51:55.306947
73,97,2022-02-13 22:06:55.306947,2022-02-13 22:51:55.306947
